Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Independent Institute,86400,0.45869192,0.472,0.09652190655469894,883,https://www.youtube.com/@independentinstitute
Neuro-sama,787000,0.457785,0.504,0.10359621047973633,392,https://www.youtube.com/@neurosama
KARE 11,397000,0.45685533,0.31,0.05751834064722061,58913,https://www.youtube.com/@kare11
List 25,2760000,0.4551161,0.378,0.08861466497182846,3022,https://www.youtube.com/@list25
BakerInstitute,21400,0.4550099,0.479,0.0972047746181488,2305,https://www.youtube.com/@bakerinstitute
Lynn Odhiambo ,183000,0.4547028,0.432,0.08847609907388687,860,https://www.youtube.com/@africaqueenz
The Hill,2120000,0.45452237,0.509,0.1084185391664505,40169,https://www.youtube.com/@thehill
MoreMojo,79200,0.45444867,0.572,0.14268173277378082,3874,https://www.youtube.com/@moremojo
Bree Lenehan,550000,0.45410782,0.374,0.08108385652303696,196,https://www.youtube.com/@breelenehan
Miraenda,51200,0.45254213,0.33,0.09621982276439667,3341,https://www.youtube.com/@miraenda
OnThatNote,54800,0.4523582,0.443,0.13489162921905518,443,https://www.youtube.com/@onthatnoteyt
Roland S. Martin,1880000,0.4519741,0.502,0.12689092755317688,28464,https://www.youtube.com/@rolandsmartin
CodeHead,49300,0.45168012,0.336,0.07052404433488846,104,https://www.youtube.com/@codehead01
Tyrecordslol,5780000,0.4483084,0.346,0.07569338381290436,1892,https://www.youtube.com/@tyrecordslol
Tori Trades,545000,0.4480908,0.253,0.05984131991863251,985,https://www.youtube.com/@toritrades
Humbled Trader,1400000,0.4475859,0.231,0.04890458658337593,991,https://www.youtube.com/@humbledtraderofficial
Secret Society,75400,0.4473204,0.587,0.147786483168602,33,https://www.youtube.com/@notsecretsociety
No Intervals,88500,0.44684234,0.408,0.09239163994789124,1061,https://www.youtube.com/@nointervalslive
KCAU-TV Sioux City,40300,0.4441626,0.317,0.07330571860074997,58256,https://www.youtube.com/@kcautvsiouxcity
Politicon,389000,0.4438828,0.475,0.11286722868680954,2868,https://www.youtube.com/@politicon
NTD News,68500,0.44351736,0.357,0.107408307492733,4666,https://www.youtube.com/@ntdnews
Daryna Popach,1120000,0.44235596,0.351,0.09239774942398071,3101,https://www.youtube.com/@darynapopach
Chizeled,638000,0.44155797,0.4,0.14654482901096344,2094,https://www.youtube.com/@chizeled
The Professor Of Real Estate ,63600,0.44125462,0.505,0.09357953071594238,158,https://www.youtube.com/@greg_barron
ZipTrader,838000,0.44121897,0.279,0.07121491432189941,781,https://www.youtube.com/@ziptrader
The Groove,23200,0.44085097,0.578,0.1345524787902832,64,https://www.youtube.com/@the_groove
Lisa Cabrera,165000,0.44013223,0.463,0.0915006548166275,15294,https://www.youtube.com/@lisamcabrera
Our History,945000,0.4353796,0.493,0.10389640927314758,739,https://www.youtube.com/@ourhistory
HISTORY,15000000,0.429637,0.45,0.09718800336122513,10995,https://www.youtube.com/@history
Feel the Boot,12000,0.42938268,0.327,0.08066459745168686,280,https://www.youtube.com/@feeltheboot
The National Desk,617000,0.4286462,0.422,0.08129548281431198,26137,https://www.youtube.com/@thenationaldesk
ABC 7 News - WJLA,224000,0.42693326,0.403,0.08179592341184616,27583,https://www.youtube.com/@7newsdc
BBC News,18800000,0.4265974,0.509,0.0971919372677803,27356,https://www.youtube.com/@bbcnews
Philip VanDusen,306000,0.4263292,0.32,0.07414530217647552,555,https://www.youtube.com/@philipvandusen
Bulldog Mindset,387000,0.42539993,0.441,0.0840073749423027,4864,https://www.youtube.com/@bulldogmindset
The Daily Signal,967000,0.42260644,0.502,0.12005068361759186,4904,https://www.youtube.com/@dailysignal
Andy Jiang,3210000,0.42246914,0.436,0.11404267698526382,2515,https://www.youtube.com/@andyyjiang
EconplusDal,364000,0.4214809,0.285,0.06130719557404518,729,https://www.youtube.com/@econplusdal
Where Are They Now?,40200,0.42139482,0.504,0.13554726541042328,627,https://www.youtube.com/@officialwherearetheynow
FRONTLINE PBS | Official,3210000,0.41898152,0.417,0.11842844635248184,1177,https://www.youtube.com/@frontline
HBO Max,2790000,0.41802382,0.408,0.11475919187068939,204273,https://www.youtube.com/@hbomax
Matthew Wellington,20300,0.41797155,0.595,0.17218372225761414,45,https://www.youtube.com/@matthewwellingtonreacts
Vanity Fair,4770000,0.4170392,0.399,0.09045873582363129,3379,https://www.youtube.com/@vanityfair
TradingLab,1830000,0.41401657,0.263,0.050540853291749954,205,https://www.youtube.com/@tradinglabofficial
Yuval Noah Harari ,779000,0.41391134,0.405,0.11556226015090942,489,https://www.youtube.com/@yuvalnoahharari
ByteMonk,290000,0.4116609,0.285,0.04273314028978348,453,https://www.youtube.com/@bytemonk
LiveNOW from FOX,5300000,0.41087765,0.36,0.0593237541615963,27024,https://www.youtube.com/@livenowfox
