Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Domain of Science,1600000,0.23584384,0.291,0.05916397646069527,68,https://www.youtube.com/@domainofscience
UniAbuja CDL&CE eLecture Contents Repository,17300,0.23516859,0.316,0.07914971560239792,711,https://www.youtube.com/@uniabujacdlce
Dr. Suzanne Soliman,15000,0.233421,0.149,0.04832940921187401,198,https://www.youtube.com/@drsuzannesoliman
diplomaduck,336000,0.23196958,0.269,0.08037117123603821,152,https://www.youtube.com/@diplomaduck
Shaw Talebi,80400,0.22990796,0.267,0.04162923991680145,159,https://www.youtube.com/@shawhintalebi
Jimmy on Relationships,1370000,0.22969496,0.289,0.05211881920695305,655,https://www.youtube.com/@jimmyonrelationships
Plainly Put,17200,0.22960725,0.256,0.06519598513841629,37,https://www.youtube.com/@plainlyputhq
AssemblyAI,176000,0.22951765,0.217,0.0384436659514904,376,https://www.youtube.com/@assemblyai
Illustrate to Educate,166000,0.2284781,0.236,0.040667206048965454,198,https://www.youtube.com/@illustratetoeducate
Morgan Wallen,3830000,0.22691964,0.167,0.048567213118076324,177,https://www.youtube.com/@morganwallen
Beginning To Now,278000,0.22630036,0.263,0.06831643730401993,11,https://www.youtube.com/@beginningtonoww
Physics Girl,3470000,0.22186571,0.11,0.02809777483344078,291,https://www.youtube.com/@physicsgirl
