Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
Humbled Trader,1400000,0.43751577,0.223,0.0463092029094696,991
Lisa Cabrera,165000,0.43702695,0.466,0.0910189226269722,15294
NTD News,68500,0.43650204,0.347,0.1039842888712883,4666
Daryna Popach,1120000,0.4362375,0.341,0.0894180461764335,3101
Chizeled,638000,0.43476486,0.389,0.1425879895687103,2094
Andy Jiang,3210000,0.43243954,0.504,0.119017407298088,2515
ZipTrader,838000,0.43055153,0.27,0.0679469630122184,781
The National Desk,617000,0.42882657,0.42,0.0816362798213958,26137
The Daily Signal,967000,0.42852134,0.505,0.1220962777733802,4904
FRONTLINE PBS | Official,3210000,0.4274936,0.424,0.1223345473408699,1177
BBC News,18800000,0.42650068,0.503,0.0965793207287788,27356
Feel the Boot,12000,0.42601267,0.32,0.0786937996745109,280
Bulldog Mindset,387000,0.42536893,0.436,0.0835807994008064,4864
Where Are They Now?,40200,0.42436603,0.506,0.1376019120216369,627
Philip VanDusen,306000,0.42350262,0.316,0.0735140666365623,555
ABC 7 News - WJLA,224000,0.42300868,0.396,0.0809527486562728,27583
HISTORY,15000000,0.4227718,0.442,0.0958166047930717,10995
Libertarianism.org,43600,0.42250848,0.517,0.12271648645401,1279
Matthew Wellington,20300,0.42215443,0.6,0.1762755513191223,45
Yuval Noah Harari ,779000,0.42130935,0.41,0.1191471740603447,489
EconplusDal,364000,0.41849658,0.283,0.0610812455415725,729
Vanity Fair,4770000,0.41627157,0.395,0.0900670811533927,3379
Biography,1080000,0.41594687,0.464,0.1165590435266494,1617
HBO Max,2790000,0.41580126,0.403,0.1138918027281761,204273
Stanford Graduate School of Business,2650000,0.41567618,0.486,0.0899939537048339,3691
The Young Turks,6340000,0.41442072,0.574,0.1172134801745414,69558
SwyperTv,235000,0.4111183,0.367,0.1148565784096717,358
KIDS FIRST!,30100,0.40784544,0.402,0.0941135734319686,5436
CBN News,2610000,0.40782005,0.506,0.0937813967466354,42349
ByteMonk,290000,0.40706503,0.277,0.0410471223294734,453
Dr. Todd Grande,1640000,0.4067132,0.459,0.1029636859893798,3791
